Alabama,,,,,,,,,,,,,,,,,,,,,,
,Total nonfarm private sector employment,,,,,,,,,,Employment - Selected Industries,,,,,,,,,,,
,Thousands,,,% change,,,"Change, ths",,,,Thousands,,,,% change,,,,"Change, ths",,,
Month,Total private,Goods producing,Service providing,Total private,Goods producing,Service providing,Total private,Goods producing,Service providing,,Natural Resources/Mining and Construction,Manufacturing,Trade/trans/util,Prof.l/business services,Natural Resources/Mining and Construction,Manufacturing,Trade/trans/util,Prof/business services,Natural Resources/Mining and Construction,Manufacturing,Trade/trans/util,Prof/business services
2005M01," 1,565 ", 412 ," 1,154 ",0.19,-0.02,0.26,3,0,3,, 116 , 295 , 380 , 204 ,-0.11,0.02,0.11,0.41,0,0,0,1
2005M02," 1,568 ", 412 ," 1,155 ",0.17,0.21,0.16,3,1,2,, 117 , 296 , 381 , 205 ,0.41,0.13,0.14,0.43,0,0,1,1
2005M03," 1,571 ", 413 ," 1,158 ",0.19,0.11,0.22,3,0,3,, 117 , 296 , 381 , 206 ,0.20,0.08,0.08,0.49,0,0,0,1
2005M04," 1,574 ", 414 ," 1,160 ",0.22,0.28,0.20,3,1,2,, 118 , 296 , 382 , 206 ,0.58,0.16,0.26,0.37,1,0,1,1
2005M05," 1,578 ", 416 ," 1,162 ",0.26,0.49,0.17,4,2,2,, 118 , 298 , 383 , 207 ,0.40,0.53,0.28,0.21,0,2,1,0
2005M06," 1,582 ", 417 ," 1,165 ",0.21,0.19,0.22,3,1,3,, 119 , 298 , 384 , 208 ,0.58,0.04,0.19,0.40,1,0,1,1
2005M07," 1,585 ", 418 ," 1,168 ",0.23,0.18,0.25,4,1,3,, 119 , 299 , 385 , 209 ,0.01,0.25,0.21,0.57,0,1,1,1
2005M08," 1,588 ", 419 ," 1,169 ",0.17,0.26,0.13,3,1,2,, 119 , 300 , 385 , 209 ,0.19,0.29,0.15,0.29,0,1,1,1
2005M09," 1,589 ", 419 ," 1,170 ",0.10,0.18,0.07,2,1,1,, 119 , 300 , 385 , 210 ,0.25,0.16,-0.06,0.50,0,0,0,1
2005M10," 1,591 ", 421 ," 1,170 ",0.13,0.46,0.01,2,2,0,, 120 , 301 , 385 , 211 ,0.43,0.47,0.04,0.13,1,1,0,0
2005M11," 1,597 ", 423 ," 1,174 ",0.36,0.47,0.32,6,2,4,, 121 , 303 , 386 , 212 ,0.58,0.43,0.23,0.48,1,1,1,1
2005M12," 1,601 ", 424 ," 1,177 ",0.25,0.23,0.26,4,1,3,, 121 , 303 , 387 , 213 ,0.34,0.18,0.13,0.44,0,1,1,1
2006M01," 1,607 ", 427 ," 1,180 ",0.33,0.59,0.24,5,2,3,, 122 , 305 , 388 , 213 ,0.83,0.49,0.22,0.37,1,1,1,1
2006M02," 1,612 ", 429 ," 1,183 ",0.32,0.44,0.28,5,2,3,, 123 , 306 , 388 , 215 ,0.58,0.39,0.19,0.53,1,1,1,1
2006M03," 1,615 ", 430 ," 1,185 ",0.21,0.33,0.16,3,1,2,, 123 , 307 , 389 , 215 ,0.21,0.38,0.13,0.32,0,1,1,1
2006M04," 1,617 ", 431 ," 1,187 ",0.13,0.10,0.14,2,0,2,, 124 , 307 , 389 , 216 ,0.40,-0.01,0.05,0.20,0,0,0,0
2006M05," 1,619 ", 431 ," 1,189 ",0.13,0.00,0.18,2,0,2,, 124 , 306 , 389 , 217 ,0.44,-0.18,0.03,0.41,1,-1,0,1
2006M06," 1,621 ", 431 ," 1,190 ",0.09,0.00,0.12,1,0,1,, 124 , 306 , 389 , 218 ,0.16,-0.06,0.06,0.45,0,0,0,1
2006M07," 1,622 ", 430 ," 1,192 ",0.06,-0.16,0.14,1,-1,2,, 124 , 305 , 390 , 218 ,0.10,-0.27,0.08,0.24,0,-1,0,1
2006M08," 1,624 ", 429 ," 1,194 ",0.12,-0.13,0.21,2,-1,2,, 125 , 305 , 390 , 219 ,0.32,-0.32,0.04,0.43,0,-1,0,1
2006M09," 1,624 ", 428 ," 1,196 ",0.02,-0.22,0.11,0,-1,1,, 125 , 303 , 390 , 219 ,0.08,-0.35,0.08,0.10,0,-1,0,0
2006M10," 1,625 ", 427 ," 1,198 ",0.06,-0.23,0.16,1,-1,2,, 125 , 303 , 391 , 220 ,-0.04,-0.31,0.13,0.22,0,-1,1,0
2006M11," 1,628 ", 427 ," 1,201 ",0.16,-0.16,0.28,3,-1,3,, 125 , 301 , 392 , 220 ,0.28,-0.34,0.25,0.37,0,-1,1,1
2006M12," 1,629 ", 426 ," 1,203 ",0.10,-0.06,0.15,2,0,2,, 126 , 301 , 392 , 221 ,0.31,-0.22,0.18,0.09,0,-1,1,0
2007M01," 1,632 ", 427 ," 1,205 ",0.17,0.05,0.21,3,0,3,, 126 , 300 , 393 , 221 ,0.44,-0.12,0.26,0.19,1,0,1,0
2007M02," 1,634 ", 426 ," 1,208 ",0.13,-0.18,0.24,2,-1,3,, 126 , 300 , 394 , 222 ,-0.30,-0.13,0.24,0.43,0,0,1,1
2007M03," 1,636 ", 426 ," 1,210 ",0.13,0.07,0.16,2,0,2,, 127 , 299 , 395 , 223 ,0.81,-0.25,0.15,0.27,1,-1,1,1
2007M04," 1,637 ", 426 ," 1,211 ",0.05,-0.10,0.10,1,0,1,, 127 , 299 , 395 , 223 ,-0.05,-0.12,0.08,0.20,0,0,0,0
2007M05," 1,637 ", 425 ," 1,213 ",0.02,-0.26,0.12,0,-1,1,, 127 , 298 , 395 , 224 ,-0.11,-0.32,0.04,0.24,0,-1,0,1
2007M06," 1,638 ", 424 ," 1,213 ",0.00,-0.09,0.04,0,0,0,, 127 , 297 , 396 , 223 ,0.12,-0.18,0.03,-0.09,0,-1,0,0
2007M07," 1,637 ", 423 ," 1,213 ",-0.04,-0.20,0.01,-1,-1,0,, 126 , 297 , 395 , 224 ,-0.25,-0.18,-0.05,0.11,0,-1,0,0
2007M08," 1,636 ", 422 ," 1,214 ",-0.06,-0.34,0.04,-1,-1,1,, 126 , 296 , 395 , 224 ,-0.21,-0.39,0.04,0.04,0,-1,0,0
2007M09," 1,634 ", 420 ," 1,214 ",-0.09,-0.34,-0.01,-2,-1,0,, 126 , 295 , 396 , 224 ,-0.31,-0.35,0.06,-0.05,0,-1,0,0
2007M10," 1,634 ", 419 ," 1,214 ",-0.04,-0.24,0.03,-1,-1,0,, 126 , 294 , 396 , 224 ,-0.14,-0.28,0.00,0.06,0,-1,0,0
2007M11," 1,634 ", 419 ," 1,216 ",0.04,-0.15,0.11,1,-1,1,, 125 , 294 , 397 , 224 ,-0.21,-0.12,0.22,0.04,0,0,1,0
2007M12," 1,634 ", 418 ," 1,216 ",-0.03,-0.18,0.03,0,-1,0,, 125 , 293 , 396 , 224 ,-0.36,-0.10,-0.09,0.26,0,0,0,1
2008M01," 1,633 ", 418 ," 1,216 ",-0.04,-0.14,-0.01,-1,-1,0,, 125 , 293 , 396 , 224 ,-0.21,-0.10,0.00,-0.01,0,0,0,0
2008M02," 1,633 ", 417 ," 1,216 ",-0.05,-0.13,-0.02,-1,-1,0,, 125 , 292 , 395 , 224 ,0.04,-0.20,-0.19,-0.13,0,-1,-1,0
2008M03," 1,629 ", 415 ," 1,214 ",-0.24,-0.56,-0.13,-4,-2,-2,, 124 , 291 , 395 , 224 ,-0.80,-0.46,-0.18,-0.17,-1,-1,-1,0
2008M04," 1,625 ", 412 ," 1,213 ",-0.23,-0.55,-0.12,-4,-2,-1,, 123 , 290 , 393 , 223 ,-0.78,-0.45,-0.33,-0.21,-1,-1,-1,0
2008M05," 1,620 ", 410 ," 1,209 ",-0.31,-0.46,-0.26,-5,-2,-3,, 122 , 289 , 392 , 222 ,-0.91,-0.27,-0.31,-0.59,-1,-1,-1,-1
2008M06," 1,615 ", 408 ," 1,207 ",-0.30,-0.63,-0.18,-5,-3,-2,, 120 , 288 , 391 , 221 ,-1.03,-0.47,-0.29,-0.30,-1,-1,-1,-1
2008M07," 1,610 ", 405 ," 1,205 ",-0.34,-0.68,-0.22,-5,-3,-3,, 119 , 286 , 390 , 220 ,-0.83,-0.63,-0.24,-0.59,-1,-2,-1,-1
2008M08," 1,603 ", 402 ," 1,201 ",-0.38,-0.72,-0.27,-6,-3,-3,, 118 , 284 , 389 , 219 ,-0.85,-0.66,-0.36,-0.46,-1,-2,-1,-1
2008M09," 1,595 ", 398 ," 1,196 ",-0.53,-0.91,-0.40,-8,-4,-5,, 117 , 281 , 386 , 218 ,-1.00,-0.87,-0.57,-0.55,-1,-2,-2,-1
2008M10," 1,587 ", 395 ," 1,193 ",-0.48,-0.99,-0.32,-8,-4,-4,, 116 , 279 , 385 , 216 ,-0.95,-1.00,-0.48,-0.64,-1,-3,-2,-1
2008M11," 1,576 ", 390 ," 1,186 ",-0.70,-1.25,-0.52,-11,-5,-6,, 114 , 275 , 382 , 214 ,-1.55,-1.13,-0.80,-0.89,-2,-3,-3,-2
2008M12," 1,565 ", 384 ," 1,180 ",-0.72,-1.34,-0.51,-11,-5,-6,, 112 , 272 , 378 , 213 ,-1.54,-1.26,-0.88,-0.77,-2,-3,-3,-2
2009M01," 1,551 ", 377 ," 1,174 ",-0.87,-1.99,-0.51,-14,-8,-6,, 111 , 266 , 376 , 211 ,-1.47,-2.20,-0.64,-1.02,-2,-6,-2,-2
2009M02," 1,537 ", 370 ," 1,168 ",-0.90,-1.90,-0.57,-14,-7,-7,, 109 , 261 , 373 , 209 ,-1.63,-2.01,-0.75,-1.00,-2,-5,-3,-2
2009M03," 1,526 ", 364 ," 1,162 ",-0.76,-1.65,-0.48,-12,-6,-6,, 107 , 256 , 370 , 207 ,-1.75,-1.60,-0.67,-0.97,-2,-4,-3,-2
2009M04," 1,516 ", 359 ," 1,158 ",-0.62,-1.37,-0.39,-9,-5,-5,, 106 , 253 , 368 , 205 ,-1.24,-1.42,-0.55,-0.68,-1,-4,-2,-1
2009M05," 1,508 ", 353 ," 1,154 ",-0.54,-1.45,-0.26,-8,-5,-3,, 105 , 249 , 367 , 204 ,-0.92,-1.67,-0.28,-0.46,-1,-4,-1,-1
2009M06," 1,500 ", 349 ," 1,151 ",-0.50,-1.26,-0.27,-8,-4,-3,, 104 , 245 , 366 , 203 ,-0.78,-1.46,-0.27,-0.47,-1,-4,-1,-1
